wallet_address,tx_count,total_eth_sent,avg_tx_value,max_tx_value,total_gas,avg_gas,avg_gas_price,unique_receivers,gas_per_tx,value_per_gas,anomaly_score,anomaly,risk_label
0xda530d5e35204195b14f6dacfcc1beccc37a9a6e,1,0.1015543711380283,0.1015543711380283,0.1015543711380283,5000000,5000000.0,0.662085396,1,5000000.0,2.0310874227605663e-08,-0.1229422204878073,-1,
0xf9c108faccd1d16923f34c12f7da5169a0b26723,1,2.9989189621977608,2.9989189621977608,2.9989189621977608,21000,21000.0,6.679499284,1,21000.0,0.0001428056648665,-0.1201263986664349,-1,
0xac6ea84aee8136b396860fecae72994b49df604f,2,7.49,3.745,7.49,1086224,543112.0,1.1273599655,2,543112.0,6.895446979628512e-06,-0.1180351481240862,-1,
0x5783737acbcd82a39f26d418d7afb8c1cddce179,1,5.0,5.0,5.0,21000,21000.0,1.124250849,1,21000.0,0.0002380952380952,-0.1129365864329078,-1,
0x415ed64d42bc0c37aeaaef79aa767d963ef38807,1,0.0,0.0,0.0,6000000,6000000.0,0.749250849,1,6000000.0,0.0,-0.1110641227214443,-1,
0x03e9f5516983b02a869fbd5df5592dfda9698fbb,1,7.00835454884484,7.00835454884484,7.00835454884484,50000,50000.0,2.0,1,50000.0,0.0001401670909768,-0.1092581560338208,-1,
0x885680d5d8eb9ff3dbb966f8397722b69faef271,1,4.023638784566139,4.023638784566139,4.023638784566139,21000,21000.0,1.79449729,1,21000.0,0.0001916018468841,-0.1080245037431529,-1,
0x1947b53ad28c9962cbb3ee76d72bcfe612a2c836,1,6.099723048752233,6.099723048752233,6.099723048752233,50000,50000.0,2.0,1,50000.0,0.000121994460975,-0.0997153233432461,-1,
0xf89d7b9c864f589bbf53a82105107622b35eaa40,8,0.04344136,0.00543017,0.04194136,720000,90000.0,2.639396007625,6,90000.0,6.033522222222222e-08,-0.0953162334730698,-1,
0x3268f78e323ec8fd119a7134c09e918424a0212d,1,5.888029872209588,5.888029872209588,5.888029872209588,50000,50000.0,2.0,1,50000.0,0.0001177605974441,-0.0948095675678644,-1,
0xcd6a374eb89f16b5cfe53802618576eb67c20c22,1,3.822107,3.822107,3.822107,21000,21000.0,1.120710983,1,21000.0,0.000182005095238,-0.0940360657409019,-1,
0x7770509ba845c9825489b138920c8335a5f6c559,1,8.764957579824323,8.764957579824323,8.764957579824323,208411,208411.0,1.124250849,1,208411.0,4.205611786241764e-05,-0.0904830454293075,-1,
0xc94ebb328ac25b95db0e0aa968371885fa516215,5,2.609826261416396,0.5219652522832792,2.411049298555588,263000,52600.0,0.8284855629999999,4,52600.0,9.92329376964409e-06,-0.0792145853885366,-1,
0xd5e0faa176424b536c3eaff9e9cb7c52736d5c81,1,0.0,0.0,0.0,3000000,3000000.0,2.662081075,1,3000000.0,0.0,-0.0753961562681714,-1,
0x87e4bea535dd494a730e27d4b9697249c92d7b7a,1,2.862742629110833,2.862742629110833,2.862742629110833,21000,21000.0,2.629499284,1,21000.0,0.0001363210775767,-0.0739147803563295,-1,
0x192fdbc1a8e39b781f29873fbf420e913b57ab5f,1,2.862674190140905,2.862674190140905,2.862674190140905,21000,21000.0,2.662784129,1,21000.0,0.0001363178185781,-0.0739147803563295,-1,
0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8,6,0.084,0.014,0.014,300000,50000.0,2.0,6,50000.0,2.8e-07,-0.0719756358763005,-1,
0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,5,0.1227761833818524,0.0245552366763705,0.0793174353832976,154458,30891.6,0.6418380568,5,30891.6,7.948839385583945e-07,-0.0711531690415669,-1,
0xe279e51a840857233960e636fd725fb229e23576,1,0.0,0.0,0.0,3000000,3000000.0,1.624250849,1,3000000.0,0.0,-0.0704983998418523,-1,
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,6,0.1833336599999999,0.0305556099999999,0.10171546,1269384,211564.0,2.650325306,5,211564.0,1.4442726550830956e-07,-0.0693632453949697,-1,
0xe0d27cde7784737f23b086346e211a3070dcef2c,1,2.8863488709506675,2.8863488709506675,2.8863488709506675,21040,21040.0,1.924864512,1,21040.0,0.0001371838816991,-0.0665657120665538,-1,
0x98d5484317715757fb161c693edf0b14070d3934,6,0.8,0.1333333333333333,0.2,1427365,237894.16666666663,5.6434754971666665,2,237894.16666666663,5.604733197185023e-07,-0.0660037923870097,-1,
0xb0bc44ca9ef6eb6f4eaac6807c9f6307f8136497,1,0.0002,0.0002,0.0002,3000000,3000000.0,0.724250849,1,3000000.0,6.666666666666667e-11,-0.0603088235792098,-1,
0x2b3fed49557bd88f78b898684f82fbb355305dbb,1,7.09316183,7.09316183,7.09316183,242436,242436.0,0.786756604,1,242436.0,2.925787354188322e-05,-0.0566412331201579,-1,
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,6,0.03932661,0.006554435,0.01447917,700000,116666.66666666669,0.7600931985,5,116666.66666666669,5.6180871428571434e-08,-0.0551262699388537,-1,
0x6df1ca7bc84679ef5a8ec2e1872c3ff541c7dead,3,1.1,0.3666666666666667,1.1,3451094,1150364.6666666667,0.7905114650000001,2,1150364.6666666667,3.187395069505496e-07,-0.0542904800657811,-1,
0xdadb0d80178819f2319190d340ce9a924f783711,8,0.0377218095918554,0.0047152261989819,0.0211739754695516,169111,21138.875,0.647822683,3,21138.875,2.2305946740221162e-07,-0.0513940095090845,-1,
0xbe3569068562218c792cf25b98dbf1418aff2455,1,3.4e-05,3.4e-05,3.4e-05,2000000,2000000.0,3.662081075,1,2000000.0,1.7e-11,-0.0434424991515244,-1,
0xc389179b875d3e0586d8e7903fe1e8de474c44da,1,0.0,0.0,0.0,2289199,2289199.0,2.656857145,1,2289199.0,0.0,-0.0431728807872601,-1,
0xa9ac43f5b5e38155a288d1a01d2cbc4478e14573,4,0.8238713400000001,0.205967835,0.40143271,840000,210000.0,2.6312292695,4,210000.0,9.807992142857145e-07,-0.0419650369395571,-1,
0x432c961e222fc3522fd31af85e84c6240ff0b46f,1,0.0,0.0,0.0,2265035,2265035.0,2.649310603,1,2265035.0,0.0,-0.0410363063046934,-1,
0x7830c87c02e56aff27fa8ab1241711331fa86f43,3,0.0,0.0,0.0,6000000,2000000.0,1.6413675163333334,1,2000000.0,0.0,-0.0387956432076064,-1,
0x315d2ee4fccda0def532ef4108ff57204f8d9eba,2,0.0,0.0,0.0,1050000,525000.0,17.082104888,1,525000.0,0.0,-0.0387076113163942,-1,
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,3,1.04382931,0.3479431033333333,0.50376931,63000,21000.0,2.624250849,3,21000.0,1.6568719206349208e-05,-0.0384298077419077,-1,
0xa0d5399a4a7735eef2498b59e1989d96214f88c6,1,2.411013029707221,2.411013029707221,2.411013029707221,23300,23300.0,1.641617183,1,23300.0,0.0001034769540646,-0.0381033930766674,-1,
0xdc42a2c1e2567c873153850a1d567aaf7018e399,1,0.36,0.36,0.36,264858,264858.0,16.620710983,1,264858.0,1.3592189022042e-06,-0.0341161341528333,-1,
0x9696f59e4d72e237be84ffd425dcad154bf96976,5,0.27432102,0.054864204,0.15067985,1062256,212451.2,2.6505282466,4,212451.2,2.5824379433959426e-07,-0.0313591627915351,-1,
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,5,0.16002313,0.032004626,0.16002313,1048948,209789.6,2.645953584,4,209789.6,1.5255582736227159e-07,-0.0303027958468053,-1,
0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,9,1.21154742103e-07,1.3461638011444445e-08,2.8956512819e-08,2562816,284757.3333333333,4.026811253888889,1,284757.3333333333,4.727406965736127e-14,-0.0283917122259859,-1,
0xbf7a18c881e971041fcb0d57a679e8944c742edf,1,0.0,0.0,0.0,126118,126118.0,42.762323504,1,126118.0,0.0,-0.0234665899051059,-1,
0x6fdc032d5e0c0465d3bd9a8236d0d06c407d0dcc,1,0.0,0.0,0.0,218760,218760.0,35.656857145,1,218760.0,0.0,-0.0204541159949915,-1,
0x620d7e459cffcdc56a874536dc19147de801a4a1,1,0.0,0.0,0.0,2186683,2186683.0,1.02591852,1,2186683.0,0.0,-0.0200062835037545,-1,
0xcbea7739929cc6a2b4e46a1f6d26841d8d668b9e,1,1.9332,1.9332,1.9332,21000,21000.0,1.6,1,21000.0,9.205714285714284e-05,-0.0168620740973726,-1,
0x9d8406edd86364623c4ae2c8a227a7b6ac8aa04b,1,1.519266,1.519266,1.519266,21000,21000.0,5.0,1,21000.0,7.2346e-05,-0.0163896754006613,-1,
0x76dfa069f33bbdf111e5b83a360c751cdf06cda1,1,2.85e-16,2.85e-16,2.85e-16,1960000,1960000.0,0.624250849,1,1960000.0,1.4540816326530612e-22,-0.0145429425881706,-1,
0x38f6d5fb32f970fe60924b282704899411126336,1,0.4584296,0.4584296,0.4584296,100000,100000.0,10.45,1,100000.0,4.584296e-06,-0.0140972597564217,-1,
0x9642b23ed1e01df1092b92641051881a322f5d4e,3,0.00466,0.0015533333333333,0.00466,2139428,713142.6666666666,3.68296467,3,713142.6666666666,2.1781522911731547e-09,-0.0126873726136265,-1,
0x5050f69a9786f081509234f1a7f4684b5e5b76c9,6,0.0,0.0,0.0,126000,21000.0,5.668201260666667,1,21000.0,0.0,-0.0126640210029297,-1,
0x2d7073d3160f2492677844fabf01dd9143c186f2,1,1.2309e-14,1.2309e-14,1.2309e-14,1999999,1999999.0,0.662081075,1,1999999.0,6.154503077251539e-21,-0.0103517045194083,-1,
0xdbf79adf5af85d01ff4136cae6e9853188941533,1,1.301e-14,1.301e-14,1.301e-14,1999998,1999998.0,0.662081075,1,1999998.0,6.505006505006505e-21,-0.0103517045194083,-1,
0xf7d44d5a28d5af27a7f9c8fc6efe0129e554d7c4,1,0.0,0.0,0.0,2063023,2063023.0,1.120710983,1,2063023.0,0.0,-0.0088343139021349,-1,
0xa203bbd45a1fe735e595d1d08a8af350d5da1d67,1,0.0,0.0,0.0,2066309,2066309.0,1.129499284,1,2066309.0,0.0,-0.0088343139021349,-1,
0xc6ce6d2c923835b3de5f23c63d1676f97d99c83e,1,0.0,0.0,0.0,1789310,1789310.0,0.831334824,0,1789310.0,0.0,-0.0086170158369115,-1,
0xdf5ba7d7d46363612301cd55be583d606995cb95,1,2.964693244,2.964693244,2.964693244,50000,50000.0,2.0,1,50000.0,5.929386488e-05,-0.0074880630571557,-1,
